game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,losing_Team
716835,2023-08-27T17:35:00Z,2023-08-27,R,Final,St. Louis Cardinals,Philadelphia Phillies,138,143,N,1,Aaron Nola,Drew Rom,,,0,3,9,Top,2681,Citizens Bank Park,[],PHI wins 3-0,Philadelphia Phillies,St. Louis Cardinals,Aaron Nola,Drew Rom,Craig Kimbrel,2023-08-27 - St. Louis Cardinals (0) @ Philadelphia Phillies (3) (Final),
716825,2023-08-27T17:37:00Z,2023-08-27,R,Final,Cleveland Guardians,Toronto Blue Jays,114,141,N,1,Yusei Kikuchi,Noah Syndergaard,,,10,7,11,Bottom,14,Rogers Centre,[],CLE wins 2-1,Cleveland Guardians,Toronto Blue Jays,Emmanuel Clase,Jay Jackson,,2023-08-27 - Cleveland Guardians (10) @ Toronto Blue Jays (7) (Final),
716830,2023-08-27T17:40:00Z,2023-08-27,R,Final,Houston Astros,Detroit Tigers,117,116,N,1,Alex Faedo,Justin Verlander,,,17,4,9,Bottom,2394,Comerica Park,[],HOU wins 2-1,Houston Astros,Detroit Tigers,Justin Verlander,Alex Faedo,,2023-08-27 - Houston Astros (17) @ Detroit Tigers (4) (Final),
716827,2023-08-27T17:40:00Z,2023-08-27,R,Final,Washington Nationals,Miami Marlins,120,146,N,1,JT Chargois,Trevor Williams,,,1,2,9,Top,4169,loanDepot park,[],WSH wins 2-1,Miami Marlins,Washington Nationals,Bryan Hoeing,Trevor Williams,Tanner Scott,2023-08-27 - Washington Nationals (1) @ Miami Marlins (2) (Final),
716828,2023-08-27T17:40:00Z,2023-08-27,R,Final,New York Yankees,Tampa Bay Rays,147,139,N,1,Zack Littell,Carlos Rodón,,,4,7,9,Top,12,Tropicana Field,['MLBN (out-of-market only)'],TB wins 2-1,Tampa Bay Rays,New York Yankees,Zack Littell,Ian Hamilton,Jason Adam,2023-08-27 - New York Yankees (4) @ Tampa Bay Rays (7) (Final),
716824,2023-08-27T18:10:00Z,2023-08-27,R,Final,Texas Rangers,Minnesota Twins,140,142,N,1,Bailey Ober,Jordan Montgomery,,,6,7,13,Bottom,3312,Target Field,[],MIN wins 3-1,Minnesota Twins,Texas Rangers,Dylan Floro,Jonathan Hernández,,2023-08-27 - Texas Rangers (6) @ Minnesota Twins (7) (Final),
716826,2023-08-27T18:10:00Z,2023-08-27,R,Final,Oakland Athletics,Chicago White Sox,133,145,N,1,Mike Clevinger,Paul Blackburn,,,1,6,9,Top,4,Guaranteed Rate Field,[],Series tied 2-2,Chicago White Sox,Oakland Athletics,Mike Clevinger,Paul Blackburn,,2023-08-27 - Oakland Athletics (1) @ Chicago White Sox (6) (Final),
716822,2023-08-27T18:10:00Z,2023-08-27,R,Final,San Diego Padres,Milwaukee Brewers,135,158,N,1,Adrian Houser,Michael Wacha,,,6,10,9,Top,32,American Family Field,[],MIL wins 3-0,Milwaukee Brewers,San Diego Padres,Bryse Wilson,Steven Wilson,,2023-08-27 - San Diego Padres (6) @ Milwaukee Brewers (10) (Final),
716821,2023-08-27T20:10:00Z,2023-08-27,R,Final,Cincinnati Reds,Arizona Diamondbacks,113,109,N,1,Slade Cecconi,Graham Ashcraft,,,2,5,9,Top,15,Chase Field,[],AZ wins 3-1,Arizona Diamondbacks,Cincinnati Reds,Scott McGough,Ian Gibaut,Ryan Thompson,2023-08-27 - Cincinnati Reds (2) @ Arizona Diamondbacks (5) (Final),
716820,2023-08-27T20:10:00Z,2023-08-27,R,Final,Kansas City Royals,Seattle Mariners,118,136,N,1,Luis Castillo,Alec Marsh,,,2,3,9,Top,680,T-Mobile Park,[],SEA wins 3-0,Seattle Mariners,Kansas City Royals,Luis Castillo,Alec Marsh,Andrés Muñoz,2023-08-27 - Kansas City Royals (2) @ Seattle Mariners (3) (Final),
716819,2023-08-27T23:10:00Z,2023-08-27,R,Final,Atlanta Braves,San Francisco Giants,144,137,N,1,Tristan Beck,Jared Shuster,,,5,8,9,Top,2395,Oracle Park,['ESPN'],ATL wins 2-1,San Francisco Giants,Atlanta Braves,Scott Alexander,Jared Shuster,Camilo Doval,2023-08-27 - Atlanta Braves (5) @ San Francisco Giants (8) (Final),
716817,2023-08-28T22:40:00Z,2023-08-28,R,Final,Los Angeles Angels,Philadelphia Phillies,108,143,N,1,Taijuan Walker,Lucas Giolito,,,4,6,9,Top,2681,Citizens Bank Park,['MLBN (out-of-market only)'],PHI leads 1-0,Philadelphia Phillies,Los Angeles Angels,Taijuan Walker,Lucas Giolito,Craig Kimbrel,2023-08-28 - Los Angeles Angels (4) @ Philadelphia Phillies (6) (Final),
716808,2023-08-28T22:40:00Z,2023-08-28,R,Final,New York Yankees,Detroit Tigers,147,116,N,1,Reese Olson,Luis Severino,,,4,1,9,Bottom,2394,Comerica Park,['MLBN (out-of-market only)'],NYY leads 1-0,New York Yankees,Detroit Tigers,Luis Severino,Reese Olson,,2023-08-28 - New York Yankees (4) @ Detroit Tigers (1) (Final),
716815,2023-08-28T23:05:00Z,2023-08-28,R,Final,Chicago White Sox,Baltimore Orioles,145,110,N,1,Grayson Rodriguez,Michael Kopech,,,0,9,9,Top,2,Oriole Park at Camden Yards,[],BAL leads 1-0,Baltimore Orioles,Chicago White Sox,Grayson Rodriguez,Michael Kopech,,2023-08-28 - Chicago White Sox (0) @ Baltimore Orioles (9) (Final),
716816,2023-08-28T23:07:00Z,2023-08-28,R,Final,Washington Nationals,Toronto Blue Jays,120,141,N,1,Kevin Gausman,Josiah Gray,,,3,6,9,Top,14,Rogers Centre,[],TOR leads 1-0,Toronto Blue Jays,Washington Nationals,Kevin Gausman,Josiah Gray,Jordan Hicks,2023-08-28 - Washington Nationals (3) @ Toronto Blue Jays (6) (Final),
716814,2023-08-28T23:10:00Z,2023-08-28,R,Final,Houston Astros,Boston Red Sox,117,111,N,1,Chris Sale,Cristian Javier,,,13,5,9,Bottom,3,Fenway Park,[],HOU leads 1-0,Houston Astros,Boston Red Sox,Kendall Graveman,Kyle Barraclough,José Urquidy,2023-08-28 - Houston Astros (13) @ Boston Red Sox (5) (Final),
716818,2023-08-28T23:10:00Z,2023-08-28,R,Final,Texas Rangers,New York Mets,140,121,N,1,Tylor Megill,Jon Gray,,,4,3,9,Bottom,3289,Citi Field,[],TEX leads 1-0,Texas Rangers,New York Mets,Martín Pérez,Trevor Gott,José Leclerc,2023-08-28 - Texas Rangers (4) @ New York Mets (3) (Final),
716813,2023-08-28T23:40:00Z,2023-08-28,R,Final,Cleveland Guardians,Minnesota Twins,114,142,N,1,Kenta Maeda,Xzavion Curry,,,6,10,9,Top,3312,Target Field,[],MIN leads 1-0,Minnesota Twins,Cleveland Guardians,Kody Funderburk,Xzavion Curry,Josh Winder,2023-08-28 - Cleveland Guardians (6) @ Minnesota Twins (10) (Final),
